WeekDay,Today ,History ,Number,Counter,Friday,NoFriday,CounterFriday,CounterNoFriday,Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday
Tuesday,Tuesday ,17/01/2012,33,6507,0,33,1774,4733,0,33,0,0,0,0
Wednesday,Wednesday ,18/01/2012,22,6529,0,22,1774,4755,0,0,22,0,0,0
Thursday,Thursday ,19/01/2012,26,6555,0,26,1774,4781,0,0,0,26,0,0
Friday,Fri detainees Revolution ,20/01/2012,22,6577,22,0,1796,4781,0,0,0,0,0,0
Saturday,Saturday ,21/01/2012,100,6677,0,100,1796,4881,0,0,0,0,100,0
Sunday,Sunday ,22/01/2012,16,6693,0,16,1796,4897,0,0,0,0,0,16
Monday,Monday ,23/01/2012,32,6725,0,32,1796,4929,32,0,0,0,0,0
Tuesday,Tuesday ,24/01/2012,67,6792,0,67,1796,4996,0,67,0,0,0,0
Wednesday,Wednesday ,25/01/2012,22,6814,0,22,1796,5018,0,0,22,0,0,0
Thursday,Thursday ,26/01/2012,95,6909,0,95,1796,5113,0,0,0,95,0,0
Friday,Fri the right of self-defense ,27/01/2012,72,6981,72,0,1868,5113,0,0,0,0,0,0
Saturday,Saturday ,28/01/2012,90,7071,0,90,1868,5203,0,0,0,0,90,0
Sunday,Sunday ,29/01/2012,99,7170,0,99,1868,5302,0,0,0,0,0,99
Monday,Monday ,30/01/2012,70,7240,0,70,1868,5372,70,0,0,0,0,0
Tuesday,Tuesday ,31/01/2012,32,7272,0,32,1868,5404,0,32,0,0,0,0
Wednesday,Wednesday ,1/2/12,68,7340,0,68,1868,5472,0,0,68,0,0,0
Thursday,Thursday ,2/2/12,22,7362,0,22,1868,5494,0,0,0,22,0,0
Friday,Sorry Hama Fri Samehana ,3/2/12,28,7390,28,0,1896,5494,0,0,0,0,0,0
Saturday,Sat massacre Khalidiya ,4/2/12,400,7790,0,400,1896,5894,0,0,0,0,400,0
Sunday,Sunday ,5/2/12,42,7832,0,42,1896,5936,0,0,0,0,0,42
Monday,Monday ,6/2/12,72,7904,0,72,1896,6008,72,0,0,0,0,0
Tuesday,Tuesday ,7/2/12,37,7941,0,37,1896,6045,0,37,0,0,0,0
Wednesday,Wednesday ,8/2/12,0,7941,0,0,1896,6045,0,0,0,0,0,0
Thursday,Thursday ,9/2/12,0,7941,0,0,1896,6045,0,0,0,0,0,0
