WeekDay,Today ,History ,Number,Counter,Friday,NoFriday,CounterFriday,CounterNoFriday,Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday
Sunday,Sunday ,29/05/2011,25,1360,0,25,581,779,0,0,0,0,0,25
Monday,Monday ,30/05/2011,11,1371,0,11,581,790,11,0,0,0,0,0
Tuesday,Tuesday ,31/05/2011,37,1408,0,37,581,827,0,37,0,0,0,0
Wednesday,Wednesday ,1/6/11,20,1428,0,20,581,847,0,0,20,0,0,0
Thursday,Thursday ,2/6/11,33,1461,0,33,581,880,0,0,0,33,0,0
Friday,Fri children freedom ,3/6/11,84,1545,84,0,665,880,0,0,0,0,0,0
Saturday,Saturday ,4/6/11,24,1569,0,24,665,904,0,0,0,0,24,0
Sunday,A massacre bridge vacancy ,5/6/11,56,1625,0,56,665,960,0,0,0,0,0,56
Monday,Monday ,6/6/11,5,1630,0,5,665,965,5,0,0,0,0,0
Tuesday,Tuesday ,7/6/11,0,1630,0,0,665,965,0,0,0,0,0,0
Wednesday,Wednesday ,8/6/11,3,1633,0,3,665,968,0,0,3,0,0,0
Thursday,Thursday ,9/6/11,1,1634,0,1,665,969,0,0,0,1,0,0
Friday,Fri clans ,10/6/11,210,1844,210,0,875,969,0,0,0,0,0,0
Saturday,Saturday ,11/6/11,3,1847,0,3,875,972,0,0,0,0,3,0
Sunday,Sunday ,12/6/11,3,1850,0,3,875,975,0,0,0,0,0,3
Monday,Monday ,13/06/2011,1,1851,0,1,875,976,1,0,0,0,0,0
Tuesday,Tuesday ,14/06/2011,2,1853,0,2,875,978,0,2,0,0,0,0
Wednesday,Wednesday ,15/06/2011,4,1857,0,4,875,982,0,0,4,0,0,0
Thursday,Thursday ,16/06/2011,3,1860,0,3,875,985,0,0,0,3,0,0
Friday,Fri honorable ,17/06/2011,16,1876,16,0,891,985,0,0,0,0,0,0
Saturday,Saturday ,18/06/2011,5,1881,0,5,891,990,0,0,0,0,5,0
Sunday,Sunday ,19/06/2011,1,1882,0,1,891,991,0,0,0,0,0,1
Monday,Monday ,20/06/2011,1,1883,0,1,891,992,1,0,0,0,0,0
Tuesday,Tuesday ,21/06/2011,10,1893,0,10,891,1002,0,10,0,0,0,0
Wednesday,Wednesday ,22/06/2011,1,1894,0,1,891,1003,0,0,1,0,0,0
Thursday,Thursday ,23/06/2011,2,1896,0,2,891,1005,0,0,0,2,0,0
Friday,Fri the fall of the legitimate ,24/06/2011,18,1914,18,0,909,1005,0,0,0,0,0,0
Saturday,Saturday ,25/06/2011,3,1917,0,3,909,1008,0,0,0,0,3,0
Sunday,Sunday ,26/06/2011,2,1919,0,2,909,1010,0,0,0,0,0,2
Monday,Monday ,27/06/2011,2,1921,0,2,909,1012,2,0,0,0,0,0
Tuesday,Tuesday ,28/06/2011,1,1922,0,1,909,1013,0,1,0,0,0,0
Wednesday,Wednesday ,29/06/2011,9,1931,0,9,909,1022,0,0,9,0,0,0
Thursday,Thursday ,30/06/2011,4,1935,0,4,909,1026,0,0,0,4,0,0
Friday,Fri Leave ,1/7/11,29,1964,29,0,938,1026,0,0,0,0,0,0
Saturday,Saturday ,2/7/11,3,1967,0,3,938,1029,0,0,0,0,3,0
Sunday,Sunday ,3/7/11,6,1973,0,6,938,1035,0,0,0,0,0,6
Monday,Monday ,4/7/11,2,1975,0,2,938,1037,2,0,0,0,0,0
Tuesday,Tuesday ,5/7/11,29,2004,0,29,938,1066,0,29,0,0,0,0
Wednesday,Wednesday ,6/7/11,2,2006,0,2,938,1068,0,0,2,0,0,0
Thursday,Thursday ,7/7/11,3,2009,0,3,938,1071,0,0,0,3,0,0
Friday,Fri no to dialogue ,8/7/11,19,2028,19,0,957,1071,0,0,0,0,0,0
Saturday,Saturday ,9/7/11,2,2030,0,2,957,1073,0,0,0,0,2,0
Sunday,Sunday ,10/7/11,4,2034,0,4,957,1077,0,0,0,0,0,4
Monday,Monday ,11/7/11,1,2035,0,1,957,1078,1,0,0,0,0,0
Tuesday,Tuesday ,12/7/11,0,2035,0,0,957,1078,0,0,0,0,0,0
Wednesday,Wednesday ,13/07/2011,7,2042,0,7,957,1085,0,0,7,0,0,0
Thursday,Thursday ,14/07/2011,8,2050,0,8,957,1093,0,0,0,8,0,0
Friday,Fri Prisoners of Freedom ,15/07/2011,37,2087,37,0,994,1093,0,0,0,0,0,0
Saturday,Saturday ,16/07/2011,9,2096,0,9,994,1102,0,0,0,0,9,0
Sunday,Sunday ,17/07/2011,11,2107,0,11,994,1113,0,0,0,0,0,11
Monday,Monday ,18/07/2011,19,2126,0,19,994,1132,19,0,0,0,0,0
Tuesday,Tuesday ,19/07/2011,13,2139,0,13,994,1145,0,13,0,0,0,0
Wednesday,Wednesday ,20/07/2011,1,2140,0,1,994,1146,0,0,1,0,0,0
Thursday,Thursday ,21/07/2011,6,2146,0,6,994,1152,0,0,0,6,0,0
Friday,Fri descendants of Khalid ,22/07/2011,18,2164,18,0,1012,1152,0,0,0,0,0,0
Saturday,Saturday ,23/07/2011,9,2173,0,9,1012,1161,0,0,0,0,9,0
Sunday,Sunday ,24/07/2011,5,2178,0,5,1012,1166,0,0,0,0,0,5
Monday,Monday ,25/07/2011,6,2184,0,6,1012,1172,6,0,0,0,0,0
Tuesday,Tuesday ,26/07/2011,6,2190,0,6,1012,1178,0,6,0,0,0,0
Wednesday,Wednesday ,27/07/2011,13,2203,0,13,1012,1191,0,0,13,0,0,0
Thursday,Thursday ,28/07/2011,5,2208,0,5,1012,1196,0,0,0,5,0,0
Friday,Fri silence is killing us ,29/07/2011,22,2230,22,0,1034,1196,0,0,0,0,0,0
Saturday,Saturday ,30/07/2011,13,2243,0,13,1034,1209,0,0,0,0,13,0
Sunday,A crescent of Ramadan massacre ,31/07/2011,140,2383,0,140,1034,1349,0,0,0,0,0,140
Monday,Monday ,1/8/11,40,2423,0,40,1034,1389,40,0,0,0,0,0
Tuesday,Tuesday ,2/8/11,11,2434,0,11,1034,1400,0,11,0,0,0,0
Wednesday,Wednesday ,3/8/11,19,2453,0,19,1034,1419,0,0,19,0,0,0
Thursday,Thursday ,4/8/11,15,2468,0,15,1034,1434,0,0,0,15,0,0
Friday,God has with us ,5/8/11,26,2494,26,0,1060,1434,0,0,0,0,0,0
Saturday,Saturday ,6/8/11,6,2500,0,6,1060,1440,0,0,0,0,6,0
Sunday,A massacre of Deir Al-Zour ,7/8/11,144,2644,0,144,1060,1584,0,0,0,0,0,144
Monday,Monday ,8/8/11,9,2653,0,9,1060,1593,9,0,0,0,0,0
Tuesday,Tuesday ,9/8/11,32,2685,0,32,1060,1625,0,32,0,0,0,0
Wednesday,Wednesday ,10/8/11,19,2704,0,19,1060,1644,0,0,19,0,0,0
Thursday,Thursday ,11/8/11,19,2723,0,19,1060,1663,0,0,0,19,0,0
Friday,Fri only God will not go down ,12/8/11,26,2749,26,0,1086,1663,0,0,0,0,0,0
Saturday,Saturday ,13/08/2011,14,2763,0,14,1086,1677,0,0,0,0,14,0
Sunday,Sunday ,14/08/2011,43,2806,0,43,1086,1720,0,0,0,0,0,43
Monday,Monday ,15/08/2011,23,2829,0,23,1086,1743,23,0,0,0,0,0
Tuesday,Tuesday ,16/08/2011,7,2836,0,7,1086,1750,0,7,0,0,0,0
Wednesday,Wednesday ,17/08/2011,18,2854,0,18,1086,1768,0,0,18,0,0,0
Thursday,Thursday ,18/08/2011,11,2865,0,11,1086,1779,0,0,0,11,0,0
Friday,Fri promise of victory ,19/08/2011,45,2910,45,0,1131,1779,0,0,0,0,0,0
Saturday,Saturday ,20/08/2011,17,2927,0,17,1131,1796,0,0,0,0,17,0
Sunday,Sunday ,21/08/2011,2,2929,0,2,1131,1798,0,0,0,0,0,2
Monday,Monday ,22/08/2011,37,2966,0,37,1131,1835,37,0,0,0,0,0
Tuesday,Tuesday ,23/08/2011,10,2976,0,10,1131,1845,0,10,0,0,0,0
Wednesday,Wednesday ,24/08/2011,22,2998,0,22,1131,1867,0,0,22,0,0,0
Thursday,Thursday ,25/08/2011,10,3008,0,10,1131,1877,0,0,0,10,0,0
Friday,Fri patience and persistence ,26/08/2011,16,3024,16,0,1147,1877,0,0,0,0,0,0
Saturday,Saturday ,27/08/2011,14,3038,0,14,1147,1891,0,0,0,0,14,0
Sunday,Sunday ,28/08/2011,17,3055,0,17,1147,1908,0,0,0,0,0,17
Monday,Monday ,29/08/2011,6,3061,0,6,1147,1914,6,0,0,0,0,0
Tuesday,Tuesday ,30/08/2011,10,3071,0,10,1147,1924,0,10,0,0,0,0
Wednesday,Wednesday ,31/08/2011,4,3075,0,4,1147,1928,0,0,4,0,0,0
Thursday,Thursday ,1/9/11,9,3084,0,9,1147,1937,0,0,0,9,0,0
Friday,Fri death or humiliation ,2/9/11,25,3109,25,0,1172,1937,0,0,0,0,0,0
Saturday,Saturday ,3/9/11,8,3117,0,8,1172,1945,0,0,0,0,8,0
Sunday,Sunday ,4/9/11,17,3134,0,17,1172,1962,0,0,0,0,0,17
Monday,Monday ,5/9/11,12,3146,0,12,1172,1974,12,0,0,0,0,0
Tuesday,Tuesday ,6/9/11,13,3159,0,13,1172,1987,0,13,0,0,0,0
Wednesday,Wednesday ,7/9/11,48,3207,0,48,1172,2035,0,0,48,0,0,0
Thursday,Thursday ,8/9/11,16,3223,0,16,1172,2051,0,0,0,16,0,0
Friday,Fri international protection ,9/9/11,31,3254,31,0,1203,2051,0,0,0,0,0,0
Saturday,Saturday ,10/9/11,25,3279,0,25,1203,2076,0,0,0,0,25,0
Sunday,Sunday ,11/9/11,17,3296,0,17,1203,2093,0,0,0,0,0,17
Monday,Monday ,12/9/11,25,3321,0,25,1203,2118,25,0,0,0,0,0
Tuesday,Tuesday ,13/09/2011,12,3333,0,12,1203,2130,0,12,0,0,0,0
Wednesday,Wednesday ,14/09/2011,15,3348,0,15,1203,2145,0,0,15,0,0,0
Thursday,Thursday ,15/09/2011,15,3363,0,15,1203,2160,0,0,0,15,0,0
Friday,Fri're going to victory ,16/09/2011,52,3415,52,0,1255,2160,0,0,0,0,0,0
Saturday,Saturday ,17/09/2011,15,3430,0,15,1255,2175,0,0,0,0,15,0
Sunday,Sunday ,18/09/2011,6,3436,0,6,1255,2181,0,0,0,0,0,6
Monday,Monday ,19/09/2011,14,3450,0,14,1255,2195,14,0,0,0,0,0
Tuesday,Tuesday ,20/09/2011,9,3459,0,9,1255,2204,0,9,0,0,0,0
Wednesday,Wednesday ,21/09/2011,14,3473,0,14,1255,2218,0,0,14,0,0,0
Thursday,Thursday ,22/09/2011,7,3480,0,7,1255,2225,0,0,0,7,0,0
Friday,Friday and unity of the opposition ,23/09/2011,28,3508,28,0,1283,2225,0,0,0,0,0,0
Saturday,Saturday ,24/09/2011,11,3519,0,11,1283,2236,0,0,0,0,11,0
Sunday,Sunday ,25/09/2011,6,3525,0,6,1283,2242,0,0,0,0,0,6
Monday,Monday ,26/09/2011,8,3533,0,8,1283,2250,8,0,0,0,0,0
Tuesday,Tuesday ,27/09/2011,13,3546,0,13,1283,2263,0,13,0,0,0,0
Wednesday,Wednesday ,28/09/2011,25,3571,0,25,1283,2288,0,0,25,0,0,0
Thursday,Thursday ,29/09/2011,7,3578,0,7,1283,2295,0,0,0,7,0,0
Friday,Fri victory Chamna and Amanana ,30/09/2011,19,3597,19,0,1302,2295,0,0,0,0,0,0
Saturday,Saturday ,1/10/11,19,3616,0,19,1302,2314,0,0,0,0,19,0
Sunday,Sunday ,2/10/11,13,3629,0,13,1302,2327,0,0,0,0,0,13
Monday,Monday ,3/10/11,1,3630,0,1,1302,2328,1,0,0,0,0,0
Tuesday,Tuesday ,4/10/11,13,3643,0,13,1302,2341,0,13,0,0,0,0
Wednesday,Wednesday ,5/10/11,18,3661,0,18,1302,2359,0,0,18,0,0,0
Thursday,Thursday ,6/10/11,9,3670,0,9,1302,2368,0,0,0,9,0,0
Friday,Fri National Council represent me ,7/10/11,24,3694,24,0,1326,2368,0,0,0,0,0,0
Saturday,Saturday ,8/10/11,19,3713,0,19,1326,2387,0,0,0,0,19,0
Sunday,Sunday ,9/10/11,18,3731,0,18,1326,2405,0,0,0,0,0,18
Monday,Monday ,10/10/11,6,3737,0,6,1326,2411,6,0,0,0,0,0
Tuesday,Tuesday ,11/10/11,12,3749,0,12,1326,2423,0,12,0,0,0,0
Wednesday,Wednesday ,12/10/11,1,3750,0,1,1326,2424,0,0,1,0,0,0
Thursday,Thursday ,13/10/2011,15,3765,0,15,1326,2439,0,0,0,15,0,0
Friday,Fri free to military ,14/10/2011,25,3790,25,0,1351,2439,0,0,0,0,0,0
Saturday,Saturday ,15/10/2011,20,3810,0,20,1351,2459,0,0,0,0,20,0
Sunday,Sunday ,16/10/2011,13,3823,0,13,1351,2472,0,0,0,0,0,13
Monday,Monday ,17/10/2011,41,3864,0,41,1351,2513,41,0,0,0,0,0
Tuesday,Tuesday ,18/10/2011,9,3873,0,9,1351,2522,0,9,0,0,0,0
Wednesday,Wednesday ,19/10/2011,25,3898,0,25,1351,2547,0,0,25,0,0,0
Thursday,Thursday ,20/10/2011,19,3917,0,19,1351,2566,0,0,0,19,0,0
Friday,Fri Arab Martyrs deadline ,21/10/2011,29,3946,29,0,1380,2566,0,0,0,0,0,0
Saturday,Saturday ,22/10/2011,24,3970,0,24,1380,2590,0,0,0,0,24,0
Sunday,Sunday ,23/10/2011,23,3993,0,23,1380,2613,0,0,0,0,0,23
Monday,Monday ,24/10/2011,22,4015,0,22,1380,2635,22,0,0,0,0,0
Tuesday,Tuesday ,25/10/2011,3,4018,0,3,1380,2638,0,3,0,0,0,0
Wednesday,Wednesday ,26/10/2011,23,4041,0,23,1380,2661,0,0,23,0,0,0
Thursday,Thursday ,27/10/2011,12,4053,0,12,1380,2673,0,0,0,12,0,0
Friday,Fri-fly ,28/10/2011,74,4127,74,0,1454,2673,0,0,0,0,0,0
Saturday,Saturday ,29/10/2011,27,4154,0,27,1454,2700,0,0,0,0,27,0
Sunday,Sunday ,30/10/2011,8,4162,0,8,1454,2708,0,0,0,0,0,8
Monday,Monday ,31/10/2011,13,4175,0,13,1454,2721,13,0,0,0,0,0
Tuesday,Tuesday ,1/11/11,6,4181,0,6,1454,2727,0,6,0,0,0,0
Wednesday,Wednesday ,2/11/11,25,4206,0,25,1454,2752,0,0,25,0,0,0
Thursday,Thursday ,3/11/11,29,4235,0,29,1454,2781,0,0,0,29,0,0
Friday,God has more on the offset and force ,4/11/11,30,4265,30,0,1484,2781,0,0,0,0,0,0
Saturday,Saturday ,5/11/11,46,4311,0,46,1484,2827,0,0,0,0,46,0
Sunday,Sunday ,6/11/11,30,4341,0,30,1484,2857,0,0,0,0,0,30
Monday,Monday ,7/11/11,11,4352,0,11,1484,2868,11,0,0,0,0,0
Tuesday,Tuesday ,8/11/11,21,4373,0,21,1484,2889,0,21,0,0,0,0
Wednesday,Wednesday ,9/11/11,21,4394,0,21,1484,2910,0,0,21,0,0,0
Thursday,Thursday ,10/11/11,37,4431,0,37,1484,2947,0,0,0,37,0,0
Friday,Fri freeze Member ,11/11/11,34,4465,34,0,1518,2947,0,0,0,0,0,0
Saturday,Saturday ,12/11/11,20,4485,0,20,1518,2967,0,0,0,0,20,0
Sunday,Sunday ,13/11/2011,29,4514,0,29,1518,2996,0,0,0,0,0,29
Monday,Monday ,14/11/2011,44,4558,0,44,1518,3040,44,0,0,0,0,0
Tuesday,Tuesday ,15/11/2011,22,4580,0,22,1518,3062,0,22,0,0,0,0
Wednesday,Wednesday ,16/11/2011,27,4607,0,27,1518,3089,0,0,27,0,0,0
Thursday,Thursday ,17/11/2011,25,4632,0,25,1518,3114,0,0,0,25,0,0
Friday,Fri expel ambassadors ,18/11/2011,24,4656,24,0,1542,3114,0,0,0,0,0,0
Saturday,Saturday ,19/11/2011,22,4678,0,22,1542,3136,0,0,0,0,22,0
Sunday,Sunday ,20/11/2011,14,4692,0,14,1542,3150,0,0,0,0,0,14
Monday,Monday ,21/11/2011,28,4720,0,28,1542,3178,28,0,0,0,0,0
Tuesday,Tuesday ,22/11/2011,39,4759,0,39,1542,3217,0,39,0,0,0,0
Wednesday,Wednesday ,23/11/2011,25,4784,0,25,1542,3242,0,0,25,0,0,0
Thursday,Thursday ,24/11/2011,37,4821,0,37,1542,3279,0,0,0,37,0,0
Friday,Fri Army protect me free ,25/11/2011,26,4847,26,0,1568,3279,0,0,0,0,0,0
Saturday,Saturday ,26/11/2011,38,4885,0,38,1568,3317,0,0,0,0,38,0
Sunday,Sunday ,27/11/2011,46,4931,0,46,1568,3363,0,0,0,0,0,46
Monday,Monday ,28/11/2011,17,4948,0,17,1568,3380,17,0,0,0,0,0
Tuesday,Tuesday ,29/11/2011,10,4958,0,10,1568,3390,0,10,0,0,0,0
Wednesday,Wednesday ,30/11/2011,28,4986,0,28,1568,3418,0,0,28,0,0,0
Thursday,Thursday ,1/12/11,19,5005,0,19,1568,3437,0,0,0,19,0,0
Friday,"Fri buffer zone, our demand ",2/12/11,22,5027,22,0,1590,3437,0,0,0,0,0,0
Saturday,Saturday ,3/12/11,28,5055,0,28,1590,3465,0,0,0,0,28,0
Sunday,Sunday ,4/12/11,34,5089,0,34,1590,3499,0,0,0,0,0,34
Monday,Monday ,5/12/11,34,5123,0,34,1590,3533,34,0,0,0,0,0
Tuesday,Tuesday ,6/12/11,15,5138,0,15,1590,3548,0,15,0,0,0,0
Wednesday,Wednesday ,7/12/11,11,5149,0,11,1590,3559,0,0,11,0,0,0
Thursday,Thursday ,8/12/11,30,5179,0,30,1590,3589,0,0,0,30,0,0
Friday,Fri strike dignity ,9/12/11,46,5225,46,0,1636,3589,0,0,0,0,0,0
Saturday,Saturday ,10/12/11,17,5242,0,17,1636,3606,0,0,0,0,17,0
Sunday,Sunday ,11/12/11,28,5270,0,28,1636,3634,0,0,0,0,0,28
Monday,Monday ,12/12/11,21,5291,0,21,1636,3655,21,0,0,0,0,0
Tuesday,Tuesday ,13/12/2011,40,5331,0,40,1636,3695,0,40,0,0,0,0
Wednesday,Wednesday ,14/12/2011,37,5368,0,37,1636,3732,0,0,37,0,0,0
Thursday,Thursday ,15/12/2011,13,5381,0,13,1636,3745,0,0,0,13,0,0
